,month,day,Date,Class,Lat,Lon,Max wind,Min pres,SST,UWND,VWND,rhum,airtemp,key,year,distance,direction,gridID
79,9,15,1800, HU,29,68.5,90,969,27.73,-1.5,11.30000305,95.1499939,306.6400146,              DEBBY1982,1982,106.507123,137.899327,2760
80,9,16,0, HU,30.5,67.5,95,966,27.269999,8.709991455,7.369995117,86.86000061,301.3499756,              DEBBY1982,1982,119.7466786,305.3712874,3005
81,9,16,600, HU,32.1,66.7,95,966,26.57,2.709991455,5.089996338,87.75999451,298.5499878,              DEBBY1982,1982,120.2145689,258.4438491,3128
82,9,16,1200, HU,33.6,65.8,95,966,25.84,1.440002441,13.61000061,80.25999451,301.6300049,              DEBBY1982,1982,116.0602161,148.7768481,3373
83,9,16,1800, HU,35.1,65.6,95,966,26.56,-1.540008545,11.33999634,80.61000061,300.6300049,              DEBBY1982,1982,104.2661005,12.20089625,3495
84,9,17,0, HU,36.4,65.6,95,966,27.59,-4.309997559,3.190002441,76.92999268,301.6300049,              DEBBY1982,1982,89.82144827,0,3741
85,9,17,600, HU,36.8,65.6,95,966,27.519999,-4.309997559,3.190002441,76.92999268,301.6300049,              DEBBY1982,1982,27.6373687,0,3741
86,9,17,1200, HU,37.1,65,95,966,25.41,-4.309997559,3.190002441,76.92999268,301.6300049,              DEBBY1982,1982,39.07991741,242.1486932,3741
87,9,17,1800, HU,37.6,63.5,100,960,25.64,-2.410003662,13.63000488,78.11999512,303.3399963,              DEBBY1982,1982,89.33655189,263.0338023,3862
88,9,18,0, HU,38.8,62.3,115,950,26.619999,0.619995117,-3.649993896,74.88999939,296.6099854,              DEBBY1982,1982,105.4483554,333.639739,3984
89,9,18,600, HU,40.1,60.7,110,952,23.359999,2.789993286,6.419998169,77.49000549,297,              DEBBY1982,1982,123.9103317,114.7969171,4106
90,9,18,1200, HU,41.6,58.5,110,954,22.46,-1.300003052,12.83999634,81.95999146,296.0599976,              DEBBY1982,1982,154.7859732,103.4854681,4349
91,9,18,1800, HU,43.5,56.1,100,960,17.98,3.300003052,18.72000122,85.66000366,296.8099976,              DEBBY1982,1982,179.3074943,220.4746849,4593
92,8,15,1200, TD,27.3,90.5,30,1009,29.449999,0.199996948,-0.990005493,75.69999695,305.289978,             ALICIA1983,1983,0,0,2659
93,8,15,1800, TS,27.2,91,40,1006,29.189999,0.199996948,-0.990005493,75.69999695,305.289978,             ALICIA1983,1983,31.48018802,195.3829512,2660
94,8,16,0, TS,27.1,91.5,45,1005,28.4,-1.990005493,1.429992676,80.52000427,308.0599976,             ALICIA1983,1983,31.5070776,190.6780204,2537
95,8,16,600, TS,27,92,50,1004,28.869999,-1.990005493,1.429992676,80.52000427,308.0599976,             ALICIA1983,1983,31.53387697,189.9430891,2538
96,8,16,1200, TS,27.1,92.4,55,1002,29.349998,-1.990005493,1.429992676,80.52000427,308.0599976,             ALICIA1983,1983,25.56546467,194.1981993,2538
97,8,16,1800, TS,27.3,92.8,60,998,29.57,-1.990005493,1.429992676,80.52000427,308.0599976,             ALICIA1983,1983,28.19904768,207.9681669,2662
98,8,17,0, HU,27.4,93.3,65,991,29.619999,-3.190002441,4.289993286,85.44999695,305.5299988,             ALICIA1983,1983,31.45320833,268.2117198,2662
99,8,17,600, HU,27.7,93.7,70,987,29.39,-3.190002441,4.289993286,85.44999695,305.5299988,             ALICIA1983,1983,32.09469679,280.5798861,2663
100,8,17,1200, HU,27.9,94.2,75,983,29.47,-3.550003052,1.050003052,86.66999817,305.3200073,             ALICIA1983,1983,33.53845089,306.1694863,2663
101,8,17,1800, HU,28.1,94.5,90,974,29.679998,-3.550003052,1.050003052,86.66999817,305.3200073,             ALICIA1983,1983,22.93272117,324.1474732,2663
102,8,18,0, HU,28.4,94.8,95,969,28.06,-0.600006104,3.800003052,77.36999512,308.6099854,             ALICIA1983,1983,27.62327271,323.0999499,2787
103,8,18,600, HU,28.9,95,100,963,28.23,-6.279998779,4.789993286,83.69000244,307.9799805,             ALICIA1983,1983,36.61328342,305.5732817,2787
104,8,18,700, HU,29.1,95.1,100,962,28.23,-6.279998779,4.789993286,83.69000244,307.9799805,             ALICIA1983,1983,15.08225377,289.5222534,2787
105,8,18,1200, HU,29.7,95.5,80,965,0,-6.279998779,4.789993286,83.69000244,307.9799805,             ALICIA1983,1983,47.94107077,197.0689062,2910
106,8,18,1800, TS,30.5,96,40,990,0,-6.279998779,4.789993286,83.69000244,307.9799805,             ALICIA1983,1983,62.83762168,142.6509077,3034
107,8,19,0, TS,31.5,96.7,35,998,0,-2.850006104,7.709991455,84.16000366,296.9700012,             ALICIA1983,1983,80.57609279,130.5665001,3158
108,8,19,600, TD,32.4,97.4,30,1003,0,-2.850006104,7.709991455,84.16000366,296.9700012,             ALICIA1983,1983,74.50463039,156.7013509,3281
109,8,19,1200, TD,33.3,98,25,1006,0,-2.850006104,7.709991455,84.16000366,296.9700012,             ALICIA1983,1983,71.27213834,190.6510909,3405
110,8,19,1800, TD,34.4,98.5,25,1009,0,-6.550003052,9.339996338,84.30000305,296.7000122,             ALICIA1983,1983,81.23750658,209.228416,3528
111,8,20,0, TD,35.4,99,20,1010,0,-2,8.520004272,69.75999451,295.1600037,             ALICIA1983,1983,74.6768985,207.4855741,3652
112,8,20,600, EX,36.5,99.4,20,1011,0,-1.710006714,9.660003662,63.25,296.4599915,             ALICIA1983,1983,79.22716038,123.6192351,3775
113,8,20,1200, EX,37.6,99.2,20,1011,0,-1.710006714,9.660003662,63.25,296.4599915,             ALICIA1983,1983,76.79873083,347.9213182,3898
114,8,20,1800, EX,38.9,99,20,1011,0,-0.479995728,8.059997559,53.19999695,298.6900024,             ALICIA1983,1983,90.47455427,349.5954915,4021
115,8,21,0, EX,40,98,20,1010,0,5.490005493,7.809997559,70.27999878,297.5,             ALICIA1983,1983,92.85804633,145.5168725,4143
116,8,21,600, EX,41.2,97,20,1010,0,5.490005493,7.809997559,70.27999878,297.5,             ALICIA1983,1983,98.11312605,56.70741725,4388
117,8,23,1800, TD,26,76,25,1012,28.05,-1.25,4.059997559,79.53999329,305.2600098,              BARRY1983,1983,0,0,2399
118,8,24,0, TD,26.8,76.2,30,1011,28.15,-1.290008545,7.279998779,79.8500061,303.4799805,              BARRY1983,1983,56.64358903,358.5578303,2522
119,8,24,600, TS,27.4,76.3,40,1010,28.38,-1.61000061,4.160003662,81.88999939,304.8200073,              BARRY1983,1983,41.90985409,356.2475547,2645
120,8,24,1200, TS,28.1,76.8,50,1011,28.58,-1.61000061,4.160003662,81.88999939,304.8200073,              BARRY1983,1983,57.21819999,331.8154388,2646
121,8,24,1800, TS,28.1,77.6,50,1011,28.21,-1.61000061,4.160003662,81.88999939,304.8200073,              BARRY1983,1983,48.759243,302.5935762,2646
122,8,25,0, TS,28.1,78.9,45,1011,27.43,-3.410003662,0.459991455,87.11000061,302.3499756,              BARRY1983,1983,79.23353559,254.9492661,2648
123,8,25,600, TS,28,79.8,40,1012,27.21,-3.410003662,0.459991455,87.11000061,302.3499756,              BARRY1983,1983,55.31288125,229.1275326,2649
124,8,25,1100, TD,27.9,80.6,30,1013,0,-3.410003662,0.459991455,87.11000061,302.3499756,              BARRY1983,1983,49.31365821,239.0457669,2649
125,8,25,1200, TD,27.9,80.8,30,1013,0,-3.410003662,0.459991455,87.11000061,302.3499756,              BARRY1983,1983,12.21247692,201.4220057,2650
126,8,25,1800, TD,27.5,82,25,1014,0,-4.470001221,-3.690002441,91.05999756,303.8800049,              BARRY1983,1983,78.43945248,318.1990091,2651
127,8,26,0, TD,27,83.8,20,1013,29.349998,-6.419998169,1.459991455,92.47000122,303.4500122,              BARRY1983,1983,115.8353935,207.1506856,2530
128,8,26,600, TD,26.3,85,25,1013,29.21,-6.419998169,1.459991455,92.47000122,303.4500122,              BARRY1983,1983,88.4896726,157.4237126,2531
129,8,26,1200, TD,25.7,86.3,30,1012,28.93,-3.61000061,-2.979995728,85.6499939,304.6699829,              BARRY1983,1983,90.75208064,77.89533043,2409
130,8,26,1800, TD,25.2,87.6,30,1011,29.699999,-3.61000061,-2.979995728,85.6499939,304.6699829,              BARRY1983,1983,88.15561027,80.66953584,2410
131,8,27,0, TD,25.1,88.9,30,1010,28.99,-2.580001831,2.349990845,83.30000305,305.5,              BARRY1983,1983,81.59893593,103.6911413,2289
132,8,27,600, TD,25.2,90.2,30,1009,29.119999,-2.580001831,2.349990845,83.30000305,305.5,              BARRY1983,1983,81.59893593,104.6623655,2413
133,8,27,1200, TS,25.8,91.6,35,1008,28.98,-1.720001221,-3.220001221,80.58000183,305.0299988,              BARRY1983,1983,96.64919388,121.8888608,2414
134,8,27,1800, TS,25.8,93,45,1002,29.8,-1.720001221,-3.220001221,80.58000183,305.0299988,              BARRY1983,1983,87.088136,67.34825167,2416
135,8,28,0, TS,25.7,94.5,60,999,28.81,-2.75,-0.199996948,79.97999573,303.789978,              BARRY1983,1983,93.60331702,59.00244853,2417
136,8,28,600, TS,25.5,95.5,60,998,29.859999,-2.75,-0.199996948,79.97999573,303.789978,              BARRY1983,1983,63.82439738,115.0130632,2418
137,8,28,1200, HU,25.5,96.4,65,993,29.88,-2.080001831,-3.190002441,73.97999573,302.2200012,              BARRY1983,1983,56.12632819,133.0114858,2419
138,8,28,1725, HU,25.4,97.4,70,986,29.88,-2.080001831,-3.190002441,73.97999573,302.2200012,              BARRY1983,1983,62.76990903,107.6693426,2420
139,8,28,1800, HU,25.4,97.5,70,986,29.88,-2.080001831,-3.190002441,73.97999573,302.2200012,              BARRY1983,1983,6.241452491,148.4012289,2420
140,8,29,0, TS,25.5,98.5,40,995,29.88,-4.88999939,6.929992676,86.78999329,300.2200012,              BARRY1983,1983,62.76990903,69.58158708,2421
141,8,29,600, TD,25.5,99.5,30,1005,29.88,-5.190002441,3.509994507,82.58999634,297.0200195,              BARRY1983,1983,62.36255901,51.84057835,2422
142,8,29,1200, TD,25.5,100.5,25,1010,29.88,-5.190002441,3.509994507,82.58999634,297.0200195,              BARRY1983,1983,62.36255901,64.50581697,2423
143,9,10,1200, TD,30.2,64.4,25,1010,27.539999,-1.630004883,1.690002441,80.80999756,302.5599976,            CHANTAL1983,1983,0,0,3002
144,9,10,1800, TD,30.9,64,30,1008,26.8,-1.630004883,1.690002441,80.80999756,302.5599976,            CHANTAL1983,1983,53.90435884,200.0046496,3002
